,id,created_at,date,user_name,screen_name,Sentimen_Title,text,retweets,replies,likes,quotes
29,1973986427986981325,2025-10-03 5:40:13,2025-10-03,cupes,kholismaul,negatif,"Kalau kualitas makanan MBG cuma begini, mending nggak usah dipaksakan deh. Banyak anak yang malah sakit perut setelah makan.",0,0,0,0
30,1973986440074965261,2025-10-03 5:40:16,2025-10-03,CyberJimbo5,CyberJimbo5,negatif,Program MBG kok makin hari makin nggak teratur ya? Anak saya pulang dalam keadaan lapar karena makanannya habis duluan.,0,0,0,0
31,1973986449067528631,2025-10-03 5:40:19,2025-10-03,Kompas.com,kompascom,netral,"""Menteri Kesehatan (Menkes) Budi Gunadi Sadikin mengungkapkan bahwa tinggi dan berat badan siswa penerima manfaat Makan Bergizi Gratis (MBG) akan diukur setiap enam bulan. Baca di sini: https://t.co/BQJuFByo8e ~KN #Menkes #MBG #tinggibadan #beratbadan""",0,3,1,1
32,1973986468361351175,2025-10-03 5:40:23,2025-10-03,noda,nodahitam0,negatif,"Anggaran MBG besar tapi hasilnya nggak kelihatan. Transparansinya minim, kita nggak tahu dana itu dipakai untuk apa.",0,0,0,0
33,1973986517065531839,2025-10-03 5:40:35,2025-10-03,apin,onlypins_,negatif,"@tempodotco Woi Pigai, lu makan dulu tuh MBG. Kalau keracunan, nggak usah komplain ya.",0,0,0,0
37,1973986635504390620,2025-10-03 5:41:03,2025-10-03,Chitra Malini Ayu,chitraliniayu,positif,"Wow, MBG! Sukses terus, beri manfaat untuk anak bangsa. https://t.co/zTDEhgHKlj",0,0,0,0
38,1973986732862505201,2025-10-03 5:41:26,2025-10-03,nabil haikal,Nabil3Haikal,netral,"Sertifikat adalah bukti kerja serius, bukan sekadar jargon. Dapur umum MBG wajib punya. #mbg # https://t.co/fZNRxHfrbb",0,0,0,0
39,1973986736318656587,2025-10-03 5:41:27,2025-10-03,Raihan Mubarok,Raimubarok,netral,"Kalau dapur umum MBG punya SLHS, risiko penyakit akibat makanan bisa ditekan. #mbg # https://t.co/S7dDJgzyk0",0,0,0,0
40,1973986739845988717,2025-10-03 5:41:28,2025-10-03,Nicholas Ryan,nicholasryaan,netral,HACCP membuat dapur umum MBG memiliki deteksi dini terhadap risiko pangan. #mbg # https://t.co/Rh00IZDsnZ,0,0,0,0
41,1973986758410060212,2025-10-03 5:41:32,2025-10-03,Guntur Pahlawan,gunturpahlawan,negatif,Apakah makan gratis untuk murid sekolah di Indonesia itu kerjaan AI? #AI #MBG,0,0,1,0
42,1973986766257598681,2025-10-03 5:41:34,2025-10-03,Candra Kirana Dewi,candrakrndewi,positif,"Gokil! Semoga sukses selalu ya MBG, bermanfaat buat semua pelajar. https://t.co/wvpt91akb9",0,0,0,0
43,1973986817910452562,2025-10-03 5:41:46,2025-10-03,GiLaS,bukanpemerhati,netral,"@KangManto123 @iwed_tumi Anak-anak Indonesia berhak mendapatkan makanan sehat dan aman, berhak atas jaminan hidup tanpa rasa takut keracunan makanan. Dan dia bilang kasus keracunan MBG bukan pelanggaran HAM? Ada yang korslet di otaknya. 🙄",0,0,0,0
44,1973986819890163738,2025-10-03 5:41:47,2025-10-03,Depe,sayangdeterjen,negatif,"Program begini masih saja dicebokin, Pak. Padahal dengan atau tanpa program ini, hak warga untuk mendapatkan pangan berkualitas, sehat, mudah, dan terjangkau harusnya dipenuhi pemerintah. Tapi bahan pokok naik dan MBG membawa korban. Pemerintah seperti tidak peduli. 😵‍💫",0,0,0,0
50,1973986880292335954,2025-10-03 5:42:01,2025-10-03,jikrisapta,jikrisapta3,positif,"SPPG bukan sekadar infrastruktur, tapi bukti kolaborasi.   udah jalanin itu. #mbg #. https://t.co/vD96w3bscQ",0,0,0,0
52,1973986886231470330,2025-10-03 5:42:03,2025-10-03,Wildan Setya,WildnSetya,positif,"Program MBG nunjukkin efek domino: anak sehat, ekonomi tumbuh, kerjaan ada. #mbg #. https://t.co/Og45rv66vk",0,0,0,0
53,1973986892304822596,2025-10-03 5:42:04,2025-10-03,Andi Muhammad,andimhmadd,positif,"Program MBG bisa dibilang lebih sustainable karena ngasih kerja, bukan cuma bantuan. #mbg #. https://t.co/cVU1y4oRTg",0,0,0,0
56,1973986911418265900,2025-10-03 5:42:09,2025-10-03,Penjaga Harapan,penjagaharapan,positif,"Kolaborasi strategis antara Perum Bulog dan Badan Gizi Nasional (BGN) semakin diperkuat untuk menjamin kualitas bahan baku program Makan Bergizi Gratis (MBG). Sinergi ini difokuskan pada penyediaan beras terbaik demi keberhasilan program gizi nasional.

#Bulog #BGN #MBG https://t.co/jOnyw5J6st",1,3,4,0
57,1973986917139296746,2025-10-03 5:42:10,2025-10-03,KOMPAS TV,KompasTV,negatif,Bertambah! Korban Keracunan MBG di Garut Mencapai 307 Orang | Kompas Siang https://t.co/TxWrnFkXt3,0,1,1,0
58,1973986954229526662,2025-10-03 5:42:19,2025-10-03,eci 😴🤸,cryingmammals,negatif,stop MBG  turut berduka cita untuk korban keracunan MBG,0,0,0,0
59,1973986989985923560,2025-10-03 5:42:27,2025-10-03,mitha fitri,MithaFitri_4,netral,No kompromi. Sertifikasi adalah tameng dapur umum MBG dari potensi masalah. #mbg #. https://t.co/wfkmmTM6WK,0,0,0,0
60,1973986987704246536,2025-10-03 5:42:27,2025-10-03,multiana febi,MultianaFeby2_,netral,Sertifikat halal penting buat jaga kepercayaan masyarakat ke MBG. #mbg #. https://t.co/R08sQmfLys,0,0,0,0
61,1973987001465807112,2025-10-03 5:42:30,2025-10-03,Julita Setami,JSetami7,netral,Dapur umum MBG harus memiliki sertifikat biar program tahan uji audit publik. #mbg #. https://t.co/eLe0wZhsyE,0,0,0,0
62,1973987010580033909,2025-10-03 5:42:32,2025-10-03,Kusuma Jati,KusumaJ40335609,negatif,"Katanya gratis dan bergizi, tapi kenyataannya banyak siswa bawa bekal sendiri karena MBG tidak layak makan.",0,1,0,0
63,1973987029735387493,2025-10-03 5:42:37,2025-10-03,saya,hanappik2,negatif,"Saya lihat sendiri menunya kadang nggak bergizi sama sekali, cuma nasi dan kuah doang. Ini bukan ‘bergizi’, cuma formalitas.",0,0,0,0
66,1973987123809431741,2025-10-03 5:42:59,2025-10-03,DikaPutra,ErlanggaPrab,positif,mbg lanjutkan perjuangan edukasinya https://t.co/LAzQJXhJuz,0,0,0,0
67,1973987124593750287,2025-10-03 5:43:00,2025-10-03,Portal Berita Info Publik,InfoPublikIP,netral,"Menkes Budi Gunadi Sadikin meminta percepatan penerbitan SLHS untuk dapur SPPG program MBG.

Kemenkes sudah melakukan koordinasi dan menyederhanakan proses agar sertifikat dapat segera diterbitkan. Penerbitan SLHS diprioritaskan bagi ribuan SPPG yang saat ini sedang beroperasi. https://t.co/QKOdMaL1ja",0,1,0,0
68,1973987137310896472,2025-10-03 5:43:03,2025-10-03,Portal Berita Info Publik,InfoPublikIP,netral,"Menurut Budi, percepatan ini penting untuk menjamin kebersihan dan keamanan pangan yang disajikan bagi penerima manfaat MBG. Hal itu ia sampaikan dalam rapat kerja bersama Komisi IX DPR RI di Senayan, Jakarta, Rabu (1/10/2025). 

#SertifikatHigienis #SPPG #MBG #Indonesiagoid https://t.co/SqAfogm66e",0,0,0,0
69,1973987157250564306,2025-10-03 5:43:07,2025-10-03,jutaan coding web gratis,edantapimanis,negatif,"@txtdrimedia MBG, G nya asam lambunG",0,0,0,0
70,1973987165299487136,2025-10-03 5:43:09,2025-10-03,erakini media,erakinimedia,netral,"Epaper Erakini, Jum'at 3 Oktober 2025

Diterpa Masalah, Program MBG Tetap Berlanjut

#badangizinasional #mbg #makanbergizigratis #dadanhidayana #sppg #epaper #erakini #ekoran https://t.co/LzC15qV3ah",0,0,0,0
72,1973987257754452157,2025-10-03 5:43:31,2025-10-03,ra🍉🍀🪷,chorongchorongn,negatif,"Minta maaf ke semua anak yang kena dampak keracunan mbg, ",0,0,0,0
73,1973987307259941058,2025-10-03 5:43:43,2025-10-03,a l e,alepecellele,negatif,Mbg hari ini sedikit aneh ,0,0,0,0
74,1973987323336630422,2025-10-03 5:43:47,2025-10-03,Dara Cahaya Lestari,darachylstri,positif,"dukung terus MBG, solusi terbaik saat ini https://t.co/2Vh00ySTGe",0,0,0,0
75,1973987394170106268,2025-10-03 5:44:04,2025-10-03,muhammad fadlan,mfadlan33,netral,Sertifikat bukan formalitas. Itu mekanisme proteksi. Dapur umum MBG wajib punya. #mbg #. https://t.co/KzvVTtmNQW,0,0,0,0
76,1973987398502789592,2025-10-03 5:44:05,2025-10-03,Faisal Rivaldi,faisalrvldi,netral,SLHS bikin standar sanitasi jelas. Dapur umum MBG harus patuhi. #mbg #. https://t.co/mFuZc9lETr,0,0,0,0
77,1973987403087110623,2025-10-03 5:44:06,2025-10-03,Jihan Kamila,kamiilajhan,netral,"Kalau dapur umum MBG nggak tersertifikasi, risikonya langsung ke penerima. #mbg #. https://t.co/lLp3YoBLo4",0,0,0,0
78,1973987413119947202,2025-10-03 5:44:08,2025-10-03,Odading Haneut,gerlangga,negatif,"Semua masalah yg muncul akibat proyek MBG, bakal jadi proyek2 baru lagi",0,0,0,0
82,1973987441460883838,2025-10-03 5:44:15,2025-10-03,Damar Maulana,dmrmaulana,netral,SPPG nunjukkin kebijakan itu butuh struktur.   udah eksekusi bareng MBG. #mbg #. https://t.co/bDDorvBPyS,0,0,0,0
83,1973987441104298288,2025-10-03 5:44:15,2025-10-03,Ashley Caitlin,ashlycaitlin,netral,Program MBG   berhasil gabungin isu gizi dan tenaga kerja dalam satu paket. #mbg #. https://t.co/dtLZQQ4lKG,0,0,0,0
85,1973987450017231349,2025-10-03 5:44:17,2025-10-03,Hafni Savira,hafniavira,netral,Program MBG   bisa jadi template kebijakan inovatif. #mbg #. https://t.co/NZLrN0aYpI,0,0,0,0
86,1973987454584828345,2025-10-03 5:44:18,2025-10-03,Nur Fadilah,fadiahnu,netral,Program MBG   kasih insight penting: efek sosial + ekonomi jalan bareng. #mbg #. https://t.co/sfGaiySHwA,0,0,0,0
87,1973987452458250746,2025-10-03 5:44:18,2025-10-03,Candra jaya,cndrjayaa,positif,"Kalau SPPG bisa ditambah, tenaga kerja yang terserap makin banyak.   udah buktiin. #mbg #. https://t.co/xP3CiFSp4f",0,0,0,0
88,1973987457864794435,2025-10-03 5:44:19,2025-10-03,Aldo Syahputro,aldosyhptro,positif,SPPG jalan = kerja jalan.   buktiin program MBG bukan sekadar teori. #mbg #. https://t.co/Mjeq6LPiBC,0,0,0,0
89,1973987460427493535,2025-10-03 5:44:20,2025-10-03,Dodhy Sambodo,DodhySamboh,netral, tenaga kerja itu indikator serius buat ukur efektivitas program MBG. #mbg #. https://t.co/nK5BMCYNS9,0,0,0,0
90,1973987528853299571,2025-10-03 5:44:36,2025-10-03,yu,yeaouu,negatif,@LordChan69v2 Mbg anda mencurigakan,0,0,0,0
91,1973987550198182301,2025-10-03 5:44:41,2025-10-03,Dimas Ajipermadi,DAjipermad,netral,HACCP penting buat kontrol tiap titik proses dapur umum MBG. #mbg #. https://t.co/73LfiJn6BB,0,0,0,0
92,1973987552421150763,2025-10-03 5:44:42,2025-10-03,Firman Pratamayoga,FirmanPrats,positif,Halal jadi fondasi penerimaan luas. Dapur umum MBG harus memilikinya. #mbg #. https://t.co/Nw9e5PYESs,0,0,0,0
93,1973987556514771336,2025-10-03 5:44:43,2025-10-03,Mbah borja,BorjaMbah,negatif,@SerieA_Lawas pada lemes belum pernah dapat MBG jirr...,0,1,2,0
96,1973987658025329104,2025-10-03 5:45:07,2025-10-03,follback sa Papua 🇮🇩,goo_miko,netral,"@irasjafii Pihak dapur MBG tidak perduli apakah masakan mereka dimakan siswa atau tidak, yg penting setiap masak mereka pasti dibayar BGN https://t.co/u2OlLV3nLI",0,0,12,0
97,1973987662714581107,2025-10-03 5:45:08,2025-10-03,Bahira Ayu Zahara,ayuzahrabahira,positif,"mantul abis! Sukses selalu untuk MBG, semoga makin bermanfaat bagi siswa https://t.co/AU01nH0i0r",0,0,0,0
98,1973987683862262187,2025-10-03 5:45:13,2025-10-03,KOMPAS TV,KompasTV,negatif,"Menu tidak konsisten. Hari ini bagus, besok kacau.",0,0,0,0
99,1973987689704849422,2025-10-03 5:45:14,2025-10-03,muhammad iqbal,miq2501,negatif,"@irasjafii Management MBG ini berantakan sekali sepertinya. Masak malam untuk disajikan siang. Harusnya masak pagi untuk disajikan siang. Sayangnya yg mengelola tidak punya pengalaman catering. Tenaga kerja kurang, alat-alat kurang, prngawasan kurang. Harus dirombak pengelolaannya.",9,0,334,0
100,1973987805241225539,2025-10-03 5:45:42,2025-10-03,Betina Ayu Maharani,ayumaharanib,positif,"idola banget deh MBG, lanjutkan misi keren kamu untuk anak-anak belajar https://t.co/frPLuGWAa6",0,0,0,0
102,1973987842620862813,2025-10-03 5:45:51,2025-10-03,Reza Pratama,RezaPraatama,positif,"Kepala BGN Dadan: Alat Rapid Test Cegah Keracunan MBG Sudah Diterapkan di SPPG Polri https://t.co/0Qrc0jg7XR #beritaterkini
#beritaviral
#kabarterbaru
#klikwarta
#news
#beritanasional",0,0,0,0
103,1973987892591800554,2025-10-03 5:46:03,2025-10-03,aya🍉🍋🌷,wijayasasnaaa,negatif,"@PencetAltF4 makanya, ga ketolong bgt tuh MBG. dikira warga pada bego apa ya",0,0,0,0
104,1973987957611868426,2025-10-03 5:46:18,2025-10-03,Rantai Persatuan,RantaiPersatuan,negatif,Makanan kadang bau dan warnanya nggak wajar.,0,88,19,0
105,1973987955439215003,2025-10-03 5:46:18,2025-10-03,tukanglas,bukan4non,negatif,@RadioElshinta Malah tambah ruwet. Serahkan sj ke ibu2 posyandu atau ibu2 PKK utk menyiapkan MBG.,1,0,0,0
107,1973988004021899677,2025-10-03 5:46:29,2025-10-03,all,aldrovandi10,negatif,"@txtdrimedia Covid itu bencana nasional, apakah MBG juga bencana nasional 

Kalau liat Korban yang berjatuhan gak kaleng2  ya wajar dikategorikan sm

Itu belum ratusan nampan makanan yang ditolak karena sudah berlendir dan bau

 kurang gizi solusinya keracunan massal
",0,0,0,0
108,1973988010489491796,2025-10-03 5:46:31,2025-10-03,Sinta Dinita,DinitaSinta,netral,"Kalau tiga sertifikat terpenuhi, dapur umum MBG bisa jadi standar emas keamanan pangan. #mbg #. https://t.co/0qvCkRY8MH",0,0,0,0
109,1973988014411166057,2025-10-03 5:46:32,2025-10-03,Celestia Callista,callistatia,positif,SLHS pastikan kebersihan. HACCP pastikan kontrol risiko. Halal pastikan keberterimaan. #mbg #. https://t.co/GdfgbCWZoJ,0,0,0,0
111,1973988225493639264,2025-10-03 5:47:22,2025-10-03,ind dio,ind98949,negatif,@ch_chotimah2 @prabowo @bang_dasco pemerintah/pak Prabowo sdh ber usaha utk brbuat baik pd rkyatnya jd hrgailah wlu sdikit.. di balik program MBG ini ada oknum/ mnusia bjat mngmbil ksempatan brbuat jhat mnjatuhkan image pak prabowo dan sprtinya kita trus di tanamkan prmusuhan kbencian dan curiga antar kita pribumi,0,0,0,0
112,1973988259211718820,2025-10-03 5:47:30,2025-10-03,𝕸𝖆𝖙𝖎𝖒𝖚𝖓𝖆𝖕𝖘𝖙𝖊𝖗™ 🛡,matimunapster,negatif,@salam4jari Makan Belatung Gratis mbg busuk#MBG,0,0,0,0
114,1973988272331510073,2025-10-03 5:47:33,2025-10-03,KOMPAS TV,KompasTV,negatif,36 Pelajar di Tasikmalaya Masih Dirawat karena Alami Gejala Keracunan Setelah Konsumsi MBG https://t.co/2Bm6liUx9e,0,0,2,0
115,1973988271903682714,2025-10-03 5:47:33,2025-10-03,Gesuri,GesuriID,negatif,Puan Maharani Tekankan Perlu Evaluasi Menyeluruh Program Makan Bergizi Gratis (MBG) https://t.co/sJWqSz5wI4,0,0,0,0
116,1973988297895743835,2025-10-03 5:47:39,2025-10-03,repannn 💫,ko_mike__,negatif,Banyak makanan terbuang karena tidak layak makan.,0,0,0,0
117,1973988323988525206,2025-10-03 5:47:46,2025-10-03,Edo🗼,edooooosaka,netral,"Yang namanya parameter itu keberhasilan kocak, noh siswa2 krn pemenuhan gizi dari MBG nya jadi lebih sehat, dicek status gizinya, nah itu baru keberhasilan, jgn cuma bisa ngasih doang plek ketiplek, kagak diurusin pemenuhan gizinya, kocak blukutuk2",0,0,0,0
118,1973988355592630357,2025-10-03 5:47:53,2025-10-03,RDWN,bitter_daddy,negatif,"Penyajiannya asal-asalan, nggak higienis.",0,0,1,0
120,1973988466628403641,2025-10-03 5:48:20,2025-10-03,Winda Fitriani Sari,windaFitrianiii,positif,super bgt! MBG makin bermanfaat utk semua siswa https://t.co/qGHvIwLbHP,0,0,0,0
122,1973988540792123879,2025-10-03 5:48:37,2025-10-03,MengKocheng,romiemocka,negatif,@randomable_ MBG adalah program tolol yang tujuannya emang untuk bancanakan prabowo dan kroninya,0,0,0,0
123,1973988539970068916,2025-10-03 5:48:37,2025-10-03,Eka Widya Ningrum,ekawidyningrum,positif,mbg bkin harapan baru! Tetap konsisten ya https://t.co/FLnzM4dzdO,0,0,0,0
124,1973988598732214549,2025-10-03 5:48:51,2025-10-03,Bagas akhram,Bagaskhrm,positif,"Sertifikat bukan beban, tapi investasi jangka panjang untuk dapur umum MBG. #mbg #. https://t.co/hDFQN55bKx",0,0,0,0
125,1973988605870964752,2025-10-03 5:48:53,2025-10-03,Putra Akasah,AkasahPutrii,netral,Dapur umum MBG tanpa sertifikat akan rawan masalah. Harus ada jaminan resmi. #mbg #. https://t.co/AxHqagaE5R,0,0,0,0
126,1973988634178236704,2025-10-03 5:48:59,2025-10-03,Aris Anton,satriantono,negatif,"@txtdrimedia Makin hari makin tidak membawa kebaikan ..mbg justru berdampak negatif pada masyarakat ...apalagi yg bermain orang orang DPR, DPRD juga...aduh ... masyarakat makin kasian",0,0,0,0
127,1973988718274076744,2025-10-03 5:49:20,2025-10-03,K.,tuyulmaghribb,negatif,MBG KONTOLLLL KEPALA BGN KONTOLL TENDER KONTOLL LO SEMUA YG NIKMATIN PROYEK MBG PADA KAYA KONTOLLLLL MOGA ANAK LU PADA KERACUNAN YA ANJINGGG,0,0,0,0
129,1973988743498666160,2025-10-03 5:49:26,2025-10-03,Davit Abdilah,AbdilahDavit,positif,"Kalau dapur umum MBG sudah punya sertifikat, publik nggak perlu was-was soal keamanan. #mbg #. https://t.co/ZYK5odsiwy",0,0,0,0
130,1973988839388758167,2025-10-03 5:49:48,2025-10-03,Kiki Tertib,tertipinboyy,netral,Sertifikat halal nggak bisa ditawar. Itu bagian dari identitas dapur umum MBG. #mbg #. https://t.co/lzQEjCCPj9,0,0,0,0
131,1973988835966222714,2025-10-03 5:49:48,2025-10-03,Sarah Lestari,sarahlstri_,netral,Dapur umum MBG harus memiliki sertifikat biar ada standar kontrol dari hulu sampai hilir. #mbg #. https://t.co/beiUJoezR1,0,0,0,0
132,1973988887006466387,2025-10-03 5:50:00,2025-10-03,Katadata.co.id,KATADATAcoid,negatif,"Badan Gizi Nasional (BGN) mencatat, sebanyak lima ribu sembilan ratus korban keracunan dalam program Makan Bergizi Gratis (MBG) jatuh selama Januari-September 2025. Secara umum kasus keracunan disebabkan pelanggaran Standar Operasional Prosedur (SOP).

“Kejadian itu rata-rata karena SOP yang kami https://t.co/S86P6v2uZX",4,1,3,1
133,1973988985161851307,2025-10-03 5:50:23,2025-10-03,IMConsultant of X,Afzon_Dakka,negatif,"@aewin86 IMHO Om. Sebenarnya MBG bagus, tapi sebaik pola penyajian yang tidak higienis, lalu ada yang keracunan, perlu diupayakan juga cara menghilangkan traumanya. 

Trauma di masa anak-anak, sependek pembelajaran saya dampaknya, melekat lebih lama di individu. 

Bagi saya, kekuatan MBG",0,2,0,0
134,1973989011074265390,2025-10-03 5:50:29,2025-10-03,roni albis,roni_albis,netral,SLHS wajib ada di dapur umum MBG buat lindungi ribuan penerima MBG. #mbg #. https://t.co/TO2dgrimQy,0,0,0,0
135,1973989007655907699,2025-10-03 5:50:29,2025-10-03,rizka firanti,rizka_firanti,positif,Sertifikat halal nggak bisa ditawar. Itu bagian dari identitas dapur umum MBG. #mbg #. https://t.co/1jxYfmZsT5,0,0,0,0
136,1973989120189083770,2025-10-03 5:50:55,2025-10-03,LASSEGAF_2 (Parody),Lassegaf2,negatif,@Urrangawak Apa hubunganNya Corbuzier dengan MBG. apa jangan jangan anaknya juga korban keracunan MBG seperti cucuNya Mahfud MD. 😭😭😭,0,0,0,0
137,1973989193610355035,2025-10-03 5:51:13,2025-10-03,Biji Masih Dua,VTarawan79494,negatif,stop MBG. Buka 19 juta lapangan kerja.,0,0,1,0
138,1973989239928074556,2025-10-03 5:51:24,2025-10-03,aku siapa,wnflks,negatif,@GoodRecom Siapa sangka jajanan depan sekolah lebih aman daripada MBG😀,0,0,0,0
139,1973989337022017997,2025-10-03 5:51:47,2025-10-03,de_bungas,de_bungas,netral,BGN membentuk dua lini investigasi mendalam terkait kasus keracunan di MBG untuk memastikan keamanan dan kepercayaan publik terhadap program pangan bergizi yg digagas pemerintah.,0,0,1,0
141,1973989442814910642,2025-10-03 5:52:12,2025-10-03,VinoSaputro,saputro_vino2,positif,luar biasa! MBG sukses bantu siswa capai prestasi https://t.co/Ot2vq0ggnR,0,0,0,0
142,1973989533369917799,2025-10-03 5:52:34,2025-10-03,Jamal Maulana,jamal_maul90,netral,"Jaga dapur tetap bersih, pangan lebih berkualitas, anak bangsa lebih sehat, terwujud bareng #SertifikasiSLHS dan MBG https://t.co/JYQG16FSwe",0,0,0,0
143,1973989536851230993,2025-10-03 5:52:35,2025-10-03,PenjagaKampung,penjaga_kampung,negatif,"@GilbertCentury @kahfi_abdu29819 @randomable_ kalau kasih makan, kasihkan saja yang masuk keluarga miskin...kata BPS kemiskinan di indonesia tinggal 7%, artinya yang perlu dikasih makan MBG hanya 7%x80juta.. hanya 5.4 juta, lainya tambahkan untuk fasilitas pendidikan sampai PT Gratis.. gitu loh...",0,0,0,0
